segment_id,speaker,start,end,duration_sec,src_text,dst_text,dst_length,estimation_length,new_text,new_length
03c737ae-285d-4501-9a55-b1f3c8bf102d,SPEAKER_00,"00:00:00,551","00:00:11,470",10.919, السلام  عليكم  في  هذه  الفيديو  سوف  نتعرف  على  المستلزمات  والأدوات  لصنع  الشوما  سوف  نرى  جميع  الأدوات  الملازمة  لبداية  مشروع  صنع  الشوما  العطرية,"Bienvenue. ici nous abordons le chapitre, nous examinons les équipement essentiels que nous devons procéder pour fabriquer des bougies moulées ou à contenant",23,27,"Bienvenue dans ce chapitre dédié aux équipements indispensables pour la fabrication de bougies moulées ou en contenant, garantissant ainsi un processus à la fois efficace et agréable.",27
a1485ba8-9b22-4b6a-bd42-06bc44ad8736,SPEAKER_00,"00:00:12,113","00:00:20,771",8.658, سوف  نبدأ  بالميزان  لنقيص  كمية  الشما  نستطيع  استخدام  ميزان  مطبخ  أو  ميزان  دقيق,La balance est l’outil de base. Un modèle de cuisine suffit; un modèle précis apporte régularité. Elle sert uniquement à déterminer les charges prévues.,24,21,"La balance est l’outil fondamental pour la fabrication de bougies, permettant de mesurer avec précision les ingrédients nécessaires à chaque création.",21
0fadf789-5c40-4e55-96e5-cd139a72812a,SPEAKER_00,"00:00:21,331","00:00:26,160",4.829, هذا  يقدم  مقياس  الشما  دقيق,"Son intérêt: obtenir des valeurs stables et comparables, utiles pour organiser votre matériel et vos futurs essais.",17,12,Son intérêt réside dans l'obtention de valeurs stables et comparables pour l'organisation.,12
53f00a92-4916-4c9b-bd21-09730918e221,SPEAKER_00,"00:00:26,799","00:00:38,910",12.111, وقعود زجاجة,"Le fondoir est l’appareil prévu pour chauffer la cire en douceur. À défaut, on garde en référence le bain-marie domestique. Ici, nous listons simplement les options et leurs avantages.",29,30,Le fondoir essentiel pour chauffer la cire offre une méthode douce et contrôlée En alternative le bain-marie domestique reste une option pratique bien que moins spécialisée pour cette tâche Cet.,30
a58ed3b6-354b-416b-8066-a33f72a0058e,SPEAKER_00,"00:00:39,550","00:00:59,084",19.534, ملعقة  خشبية,"La cuillère en bois complète l’ensemble. Elle supporte bien la chaleur ambiante et reste confortable en main. Elle permet une manipulation souple des matières, sans choc thermique sur les contenants. Elle s’insère naturellement parmi les outils d’appoint.",37,48,La cuillère en bois indispensable dans l'atelier résiste à la chaleur tout en offrant une prise en main agréable Sa flexibilité permet de mélanger les ingrédients sans risque de choc thermique Elle s'intègre harmonieusement aux autres outils facilitant ainsi la création de bougies et d'autres projets artisanaux Cet.,48
66a9fcec-a8ae-4923-a289-5e461387f92c,SPEAKER_00,"00:00:59,584","00:01:05,310",5.726, العطر,"Par ailleurs, parfums doivent être compatibles avec la cire. Retenez surtout les références signalées pour bougies, issues de fournisseurs sérieux.",20,14,"Ensuite, parfums choisis doivent impérativement être compatibles avec la cire pour garantir une diffusion.",14
160d745b-9da3-453e-84a0-22f5b33b754b,SPEAKER_00,"00:01:05,760","00:01:22,297",16.537,,"Par ailleurs, colorants existent sous plusieurs formes. Certains sont adaptés aux cires, d’autres plutôt aux savons ou résines. On privilégie les gammes annoncées pour bougies afin d’obtenir une teinte régulière et stable au fil du temps.",36,41,"Ensuite, colorants se présentent sous diverses formes, et certains sont parfaitement adaptés aux cires, tandis que d'autres conviennent mieux aux savons ou résines. Il est donc crucial de sélectionner des gammes spécifiquement conçues pour les bougies afin d'assurer une teinte uniforme.",41
b0575474-7fa2-4d5f-a274-6c79fef990a9,SPEAKER_00,"00:01:22,996","00:01:31,287",8.291, الفتيل فاتيل محور,"Par ailleurs, mèches se déclinent en plusieurs tailles et matières. Le choix dépend du diamètre du contenant et de la nature des charges.",23,20,"Par ailleurs, les mèches se déclinent en plusieurs tailles et matières, influençant ainsi la combustion et la diffusion des fragrances.",20
97cc78cb-c900-40a5-b31d-4701551bf93e,SPEAKER_00,"00:01:31,774","00:01:42,801",11.027, القوالب,"Par ailleurs, moules et contenants structurent la gamme: moules rigides, silicone et verrerie. Le silicone facilite le démoulage et tolère bien les variations habituelles.",24,27,"Ensuite, moules en silicone, en plus de faciliter le démoulage, offrent une grande flexibilité et s'adaptent parfaitement aux différentes formes, garantissant ainsi des créations variées et esthétiques.",27
cf8e7f3f-3e79-4c5a-af47-568968b114cc,SPEAKER_00,"00:01:43,496","00:01:56,816",13.32, حامل,La pastille métallique relie la mèche à son support. Elle stabilise l’axe et assure un appui franc sur le fond du contenant. Cet accessoire s’ajoute simplement à la liste du kit de base.,33,33,"La pastille métallique, essentielle dans le processus, relie la mèche à son support tout en stabilisant l’axe. Elle garantit un appui solide sur le fond, contribuant ainsi à la réussite de vos préparations.",33
