segment_id,speaker,start,end,duration_sec,src_text,dst_text,dst_length,estimation_length,new_text,new_length
8d7a71c7-84e7-4be4-addf-8d69c3d7c0b3,SPEAKER_00,"00:00:00,738","00:00:10,418",9.68, سلام  اليوم  سوف  نشاهد  المواد  الأولية  لصنع  الشموع  يعني  أن  تعرفوا  على  أنواع  الشمع  الخام  التي  نستطيع  صنع  منها  خليط  الشموع,"Les cires jouent un rôle essentiel dans la fabrication des bougies, car elles déterminent la combustion, l'apparence et le parfum, selon leur composition unique.",24,24,"Les cires déterminent la combustion, l'aspect et la diffusion des parfums essentiels. La balance, fondoir et la cuillère en bois influent sur les colorants.",24
fc98262d-4ef3-429a-9d85-3057c5d999c9,SPEAKER_00,"00:00:10,418","00:00:13,913",3.495, حسب  السياق  الذي  سنعتمد  عليها  في  تطبيقاتنا,Le choix de la cire influence directement la qualité.,9,9,Le choix de la cire naturelle influence la qualité.,9
aa4deb66-623c-4c45-9ba3-d99bbe9418bd,SPEAKER_00,"00:00:14,354","00:00:30,025",15.671,في هذا المحور سنشاهد أيضا الفرق بين مختلف أنواع الشمع الخام حسب الجودة والتكلفة أولا الشمع هو الشمع النحل  هو شمع مستخلص أصله حيواني يستخرج من خلية النحل,"La cire d’abeille, prisée pour sa qualité exceptionnelle, offre une combustion propre et durable, apportant ainsi une touche naturelle à vos créations artisanales. Elle provient des abeilles et est utilisée dans diverses réalisations artisanales, garantissant authenticité et sécurité.",38,38,"La cire d'abeille est une cire naturelle offrant une combustion propre, durable et une belle lueur pour les bougies artisanales. Elle provient des abeilles, contient des traces naturelles utiles pour les parfums et respecte souvent la santé publique.",38
342b2806-3672-4035-8971-548b78a169f0,SPEAKER_00,"00:00:30,823","00:00:35,186",4.363, يتعبر طبيعي 100% وغير مضر بالساحة وكذلك بالبيئة,Considérée comme 100 pourcent  naturelle elle est sans danger pour tous.,11,11,"Considérée comme cire naturelle à 100%, elle est généralement sans danger.",11
f1bdfd4a-7283-49b6-95ba-b7de7bf4b49c,SPEAKER_00,"00:00:35,645","00:00:54,694",19.049, بالنسبة للبيئة الشمع النحل هو أن تمنه مرتفع جدا مقارنة مع باقي الشموع مثل الشمع الصوجة أو البغافين بالنسبة للإيجابيات هو أنه يحترق بدون دخان ويحترق ببطء وبالتالي شمعه تدوم لمدة,"La cire de soja, en plus de brûler lentement, produit peu de fumée, ce qui prolonge la durée de vie des bougies. Cette caractéristique séduit de nombreux consommateurs, car elle garantit une expérience agréable tout en étant respectueuse de l’environnement, favorisant ainsi une ambiance chaleureuse et conviviale.",47,47,"La cire de soja, cire naturelle issue de ressources renouvelables, brûle lentement et produit peu de fumée bénéfique pour l'atmosphère intérieure domestique et conviviale. Cette caractéristique prolonge la durée de vie des bougies et séduit par son rendu homogène dans les moules et favorise une diffusion régulière.",47
40fe5576-2765-4e75-b2d4-e9e779ec338d,SPEAKER_00,"00:00:55,526","00:01:13,981",18.455,أطول  بالنسبة  للشمع  النحل  هو  الشمع  الصوجة  أو  الشمع  الصوجة  هو  من  أشهر  شموع  نباتية  مستعملة  في  صناعة  الشموع  ما يميزه هو أنه طبيعي 100% مصادق للبيئة وغير مضر بالساحة وكذلك,"La cire de soja, provenant de ressources renouvelables, est prisée pour ses qualités écologiques et sa combustion sans résidus nocifs. Elle assure une durée de vie prolongée tout en offrant une alternative saine aux cires classiques, attirant ainsi les consommateurs soucieux de leur impact environnemental.",45,45,"La cire de paraffine, issue de la pétrochimie, reste populaire pour sa facilité de manipulation et son coût abordable en production industrielle massive. Cependant sa combustion peut libérer des substances préoccupantes pour la santé et l'environnement, ce qui pousse certains à préférer des alternatives durables.",45
2caf09cf-05c5-44a8-87d7-c53cbc52abff,SPEAKER_00,"00:01:15,560","00:02:01,074",45.514,بالبيئة  بالنسبة  للشمع  النحل  هو  الشمع  الباغافين  يستخرج  من  خلية  النحل  ومن  إيجابياته  نوع  الشمع  هو وكذلك متوفر بكثرة وهندو قوام متماسك وسهل في عملية التلوي  معظم  الشموع  اللي  تتباع  في  المحلات  التجارية  فهي  مصنوعة  من  الشمع  الباغافين  بالنسبة  للسيبيات  هو  أنه  مصنوع  من  البترول  والشمع لا يدوم مدة طويلة والاحتراق يكون دخان وهو مضر,La cire de paraffine bien que très répandue dans l'industrie des bougies présente des caractéristiques qui méritent d'être examinées de près Dérivée de la pétrochimie elle est appréciée pour sa facilité de manipulation et son coût abordable ce qui en fait un choix populaire pour la production à grande échelle Cependant il est important de noter que sa combustion peut libérer des substances potentiellement nocives soulevant des inquiétudes quant à la santé et à l'environnement De plus sa durée de combustion est généralement plus courte que celle des cires végétales ou animales ce qui incite de nombreux consommateurs à rechercher des options plus durables et respectueuses de l'écosystème Cet aperçu fixe des.,112,112,"La paraffine, très répandue, offre une mise en forme facile et un résultat souvent lisse et brillant esthétiquement. Sa disponibilité et son faible coût expliquent son usage généralisé dans l'industrie et chez certains artisans de production. Cependant la combustion produit parfois des résidus et des composés susceptibles d'alerter sur la qualité de l'air intérieure. La durée de combustion se révèle souvent moindre que celle des cires végétales ou animales plus denses durables. Ces aspects incitent de nombreux consommateurs et créateurs à privilégier des cires naturelles et des formulations plus respectueuses pour l'environnement. Par conséquent l'attention se porte aussi sur le choix des mèches, des colorants, des parfums et des supports de mèche.",112
5063a8c7-38bf-488b-b18f-eb94001b248c,SPEAKER_00,"00:02:01,400","00:02:11,290",9.89, بالصحة  من  بين  مواد  الأولية  لصناعة  الشمع  بالإضافة  إلى  الشمع  الخام  لدينا  كذلك  حند  دياغيك  اللي  هو  حمد  دهني  نضيفه  للشمع  الخام,Outre ses propriétés esthétiques l’acide stéarique joue un rôle crucial dans la fabrication des bougies améliorant leur texture et leur durabilité favorisant ainsi leur.,24,24,"L'acide stéarique améliore la texture, l'opacité et la tenue des bougies artisanales. Il apporte durabilité et facilite le démoulage dans les moules sans défaut.",24
54091848-748e-4a99-aea0-1e2eb40988d3,SPEAKER_00,"00:02:11,290","00:02:21,110",9.82, لكي  يعطينا  قوام  متوماسك  ولمسالة  مع  الشمع  وهو  كذلك  يعتبر  مادة  مبيضة  للشمع  حيث  يزيد  من  اللون  الأبيض  في  الشمع,L’acide stéarique est également un agent blanchissant augmentant la blancheur de la cire et améliorant l’aspect esthétique des bougies les rendant plus séduisantes Cet.,24,24,"L'acide stéarique agit aussi comme agent blanchissant et affine la blancheur visuelle. Le rendu améliore l'aspect des bougies, séduisant pour la présentation commerciale soignée.",24
adf33389-a2c8-417b-860d-760bb039ff30,SPEAKER_00,"00:02:21,689","00:02:28,724",7.035, ومن المميزات دياله أيضا أنه يعطي صلابة للشمع وكذلك يثبت العدر بشكل أكبر,"Son intérêt ne s’arrête pas là, car il renforce la structure et améliore la texture des bougies.",17,17,Son intérêt dépasse l'esthétique car il renforce la structure et améliore nettement la texture des bougies artisanales.,17
