segment_id,speaker,start,end,duration_sec,src_text,dst_text,dst_length,estimation_length,new_text,new_length
96ea4669-b240-4c37-8d46-b4f4c08f61f8,SPEAKER_00,"00:00:00,568","00:00:07,088",6.52, مرحبا بكم في هذه الفيديوهات الجديدة سوف نرى أنواع القوالب التي تستخدم في صناعة الشمعة,"Dans cette troisième partie de la formation, nous allons explorer les bougies coulées dans des contenants et les bougies moulées. Vous découvrirez les différents types de contenants et de moules, leurs propriétés et leurs usages pour choisir les plus adaptés à vos projets.",43,16,Dans cette troisième partie nous allons explorer les différentes techniques de fabrication des bougies coulées Cet.,16
3e59f988-1479-4b16-a977-f8b349fc4321,SPEAKER_00,"00:00:07,512","00:00:27,001",19.489, هناك  الكثير  من  الأنواع  لكن  أغلبها  التي  تستخدم  في  المشاريع  هي  السيليكون  أو  الزجاج  المسبق  للقوالب  هو  في  تغيير  الكيسان  البلاستيكي," Il existe une grande variété de contenants et de moules pour fabriquer des bougies : verre, argile, ciment, silicone et bien d’autres. Chacun apporte une esthétique et des caractéristiques particulières. Toutefois, pour des raisons de sécurité, il est fortement déconseillé d’utiliser des contenants en plastique : sous l’effet de la chaleur, ils peuvent fondre, dégager des substances nocives et présenter un risque d’incendie",61,48,Chaque option présente des caractéristiques uniques qui influencent l'esthétique et la fonctionnalité des bougies offrant ainsi de nombreuses possibilités créatives aux artisans.,22
1d6ccf41-e4e1-445a-b498-456e40905609,SPEAKER_00,"00:00:27,818","00:01:03,298",35.48, تستخدم في إسم الأب أو الصغير أو أي هذه الديقة أو أي مانع مستمر هناك أيضا عدد الكثير من�الت الناس لأنها تستخدم للتغيير لكي تهجر الأنواع يمكن استخدامه لتصنيف الورق أو لتصنيف الخزامات," Les contenants en verre figurent parmi les plus populaires. Leur transparence met en valeur la cire et les couleurs, et ils résistent bien à la chaleur. Un pot en verre, par exemple, peut être réutilisé et se ferme avec un couvercle, ce qui aide à préserver le parfum et à protéger la bougie de la poussière. Les atouts principaux du verre sont son esthétisme, sa durabilité et sa disponibilité à prix raisonnable. Ses limites résident dans sa fragilité : il peut se fendre s’il est exposé à des chocs thermiques ou physiques. Comparé aux autres contenants, il reste un excellent compromis entre sécurité, élégance et coût.",105,87,"Ensuite, contenants en verre figurent parmi les plus populaires pour la fabrication de bougies car leur transparence met en valeur la cire et les couleurs créant ainsi un effet visuel attrayant Ils résistent bien à la chaleur ce qui les rend idéaux pour contenir des bougies fondantes Les artisans apprécient leur capacité à s'adapter à différents styles de décoration allant du moderne au vintage.",64
d0ccd464-deb3-4e64-ac57-bd1fe6f7bc6f,SPEAKER_00,"00:01:04,168","00:01:26,304",22.136, يمكن استخدامه لتصنيف الفخار أو لتصنيف الكيسان أو لتصنيف الزلايف يمكن استخدامه,"L’argile, matériau naturel, apporte une touche artisanale et authentique. Les contenants en argile retiennent bien la chaleur et diffusent progressivement l’arôme de la bougie. Leur composition minérale leur confère un aspect poreux, qui absorbe légèrement la cire et crée une esthétique rustique. Leur principal avantage est d’offrir un rendu unique et chaleureux, mais ils sont plus lourds et plus fragiles que le verre. Leur prix est modéré, et ils se distinguent par leur caractère écologique et traditionnel. ",77,54,L’argile matériau naturel apporte une touche artisanale et authentique Les contenants en argile retiennent bien la chaleur ce qui permet une combustion uniforme de la bougie De plus ils diffusent progressivement l’arôme enrichissant ainsi l’expérience olfactive Leur texture unique et leur couleur terreuse ajoutent également une dimension esthétique à la décoration intérieure Cet aperçu.,54
7254ae99-50f1-402b-828e-e576d8c534e6,SPEAKER_00,"00:01:27,154","00:01:36,704",9.55, المنزل  يوجد  أيضًا  قوالب  سيليكوم  يوجد  الكثير  من  الأنواع  والأشكال  للمول  السيليكوم,"Les contenants en ciment ou en plâtre séduisent par leur aspect moderne et minimaliste. Ils sont faciles à mouler soi-même et permettent de créer des formes originales. Leur faible coût et leur solidité sont des atouts, mais ils restent sensibles aux fissures et à l’humidité. Comparés au verre ou à l’argile, ils conviennent bien pour des projets décoratifs à petit budget, mais nécessitent parfois un traitement protecteur pour éviter que la cire ne s’infiltre.",74,23,"Ensuite, contenants en ciment ou en plâtre, grâce à leur esthétique moderne, apportent une alternative séduisante pour les bougies, alliant créativité et simplicité.",23
87a60785-c1c9-4a58-9771-ba6a7df727a7,SPEAKER_00,"00:01:37,377","00:02:01,641",24.264, أيضًا  قوالب  سيليكوم  صغيرة  يوجد,"Les moules en silicone ouvrent la porte à une créativité presque illimitée. Grâce à leur souplesse, ils facilitent le démoulage et permettent de produire des bougies aux formes originales : cœurs, fleurs, figurines ou encore fondants parfumés. Le silicone résiste bien à la chaleur, se nettoie facilement et existe en différentes tailles. Il représente l’outil idéal pour concevoir des bougies décoratives ou thématiques. Ses limites : un coût légèrement plus élevé que le s moules classiques et une durabilité qui dépend de la qualité du silicone utilisé.",85,59,"Ensuite, moules en silicone ouvrent la porte à une créativité presque illimitée. Grâce à leur souplesse, ils facilitent le démoulage et permettent de produire des bougies aux formes originales. En explorant différentes techniques, il est possible de créer des designs uniques qui embellissent n'importe quel espace. Ces moules sont donc un choix judicieux pour les amateurs de bougies artisanales.",59
9dfb7f20-06da-4a7f-a720-c558c1e274bd,SPEAKER_00,"00:02:01,691","00:02:20,433",18.742,,"À côté des moules classiques, il existe aussi de petits moules en silicone spécialement utilisés pour les fondants parfumés. Ces formats réduits permettent de réaliser de petites pièces très odorantes, conçues pour fondre dans un brûle-parfum. Leur popularité vient de leur aspect pratique, de leur grande diversité de formes et de la possibilité d’expérimenter différents parfums et couleurs en petites quantités.",61,46,"À côté des moules classiques, les petits moules en silicone pour fondants parfumés offrent une multitude de possibilités créatives. Ils permettent de réaliser des créations esthétiques tout en diffusant des senteurs délicates. Ces moules sont parfaits pour personnaliser des cadeaux ou embellir son intérieur avec originalité.",46
d14f8385-edd8-425d-8568-d65656db26f1,SPEAKER_00,"00:02:20,483","00:02:45,254",24.771, أيضًا قوالب سيليكوم صغيرة يوجد أيضًا قوالب سيليكوم صغيرة يوجد أيضًا,"Les bougies en contenant peuvent également être décorées et parfumées en fonction du thème choisi. Par exemple, on peut créer une ambiance florale avec des senteurs de rose séchée, un parfum chaleureux avec l’arôme de café, ou encore des notes délicates avec des roses fraîches. Ces choix permettent de personnaliser vos créations et de renforcer l’expérience sensorielle.",57,61,"Ensuite, bougies en contenant, bien qu'elles soient souvent perçues comme plus pratiques, offrent également une multitude de possibilités créatives. En les décorant et en les parfumant selon un thème spécifique, il est possible de transformer l'atmosphère d'un espace. Par exemple, une ambiance florale peut être évoquée grâce à des senteurs de rose séchée, apportant ainsi une touche d'élégance et de douceur.",61
2fe98f6c-4961-4469-94d8-94d4d636dc17,SPEAKER_00,"00:02:45,900","00:03:05,093",19.193, صغيرة لكل أن أخرًا في الفديو كما,"Les bougies moulées en silicone offrent originalité et liberté créative, tandis que les bougies en contenant garantissent sécurité et praticité. Les premières séduisent par leurs formes, les secondes par leur simplicité et leur confort d’utilisation.",35,47,"Ensuite, bougies moulées en silicone se démarquent par leur créativité offrant une variété de formes captivantes En revanche les bougies en contenant bien que pratiques garantissent une sécurité optimale Cette complémentarité enrichit l'expérience permettant d'allier esthétique et fonctionnalité dans l'univers fascinant des bougies artisanales Cet aperçu fixe.",47
4505055b-023a-4f07-997e-95f94d1772dd,SPEAKER_00,"00:03:05,696","00:03:28,595",22.899, كان هناك العديد من الأفكار لزيان في الشماء يجب إلا أن تكون هناك نشاط في الخيار مثلا لا نستطيع أن نضع الشمعة في رائحة القهوة ونزيلها بالورد وشمعة لونها مفهوم إذا كنت تريد الشمعة فلا تحتاج شيء," La véritable richesse de la fabrication artisanale réside dans la combinaison des parfums, des couleurs et des formes. En associant ces éléments, on peut créer des expériences uniques. Imaginez, par exemple, une bougie parfumée au café, coulée dans un contenant en plâtre coloré : elle allie l’odeur chaleureuse du café, la robustesse du plâtre et une esthétique contemporaine. Ces corrélations stimulent la créativité et permettent de proposer des produits personnalisés et mémorables.",71,56,La véritable richesse de la fabrication artisanale réside dans la combinaison des parfums des couleurs et des formes Chaque bougie devient ainsi une œuvre unique reflet de la personnalité de son créateur En jouant avec ces éléments on peut éveiller des émotions créer des ambiances et transformer un simple objet en une véritable pièce d'art Cet.,56
