segment_id,speaker,start,end,duration_sec,src_text,dst_text,dst_length,estimation_length,new_text,new_length
946ab10b-ca63-4801-95bb-ea8006d08fe6,SPEAKER_00,"00:00:00,636","00:00:10,407",9.771,السلام و مرحبا بكم في هذا الفيديو سوف نتعلم كيفية صنع شموع في قلب جيبس  و سوف نقوم بصنعه بالورد,"Cette partie pratique présente une bougie florale en contenant de gypse. Le montage illustre l'usage de la cire naturelle, des parfums et des mèches.",24,24,"Cette partie pratique présente une bougie florale en contenant de gypse. Le montage illustre l’usage de la cire naturelle, des parfums et des mèches.",24
87dae5e7-cb20-4034-996e-32a6d4c4709c,SPEAKER_00,"00:00:11,332","00:01:00,568",49.236,أول شيء لحسب كمية الشموع يجب أن نستعمل الماء  نضع القلب على الميزان و نضيف  الماء إلى المستوى الذي نريد نضع فرق في الماء لكي نضيف مواد الزين وهي الورد ثم نضع فرق في الميزان لكي يتم تدليل الماء  نضيف 245 غرام نضيف 0.8 غرام لكي نعرف كمية الشموع يجب أن نستعمله في هذا القلب  بعد  تحسين  وزن  الماء  نضيفه  لكي  نحسب  كمية  الشموع  يجب  أن  نستعمل  صيغة  تركبية  ثالثة  نرىها  في  الفقرات  كمية الماء في القلب 245,"Parce que l’eau nous donne directement le volume utile du pot. Remplir le contenant d’eau jusqu’au niveau de coulage, puis peser ce que contient le pot, c’est la manière la plus rapide d’obtenir ce volume. Et comme 1 millilitre d’eau pèse 1 gramme, 245 g d’eau signifient… 245 millilitres de volume. ",51,121,"Parce que l’eau donne directement le volume utile du pot sans estimation approximative. Le remplissage du contenant d’eau jusqu’au niveau de coulage fournit la mesure. La pesée de cette eau sur la balance renvoie immédiatement la quantité en grammes. Un millilitre d’eau correspond pratiquement à un gramme dans des conditions normales. Ainsi, deux cent quarante cinq grammes d’eau indiquent environ deux cent quarante cinq millilitres. Cette valeur devient la base pour estimer la masse de cire nécessaire en tenant compte de la densité. Des pipettes et une balance précises accompagnent l’observation pour garantir répétabilité et confiance. La prise en compte des moules et du volume réel évite les erreurs de calcul systématiques. La documentation précise rend la méthode traçable et fiable.",121
a0c230bc-914f-4ec0-a285-1af2cae13e67,SPEAKER_00,"00:01:01,078","00:01:25,950",24.872,غرام نضيف 0.8 غرام لكي نحصل على كمية الشموع يجب أن نحصل على 210 غرام هذه هي كمية الشموع  لكي نحصل على 40% نضيف 210 غرام ونقسم إلى 100 نحصل على 84 نضيف 80 هذه هي كمية الشموع لكي نحصل على 30,"Pourquoi 245 g d’eau corrrespond à environ 210 g de cire ? La cire est plus légère que l’eau. En moyenne, une cire pèse environ 0,86 g par millilitre. Donc, pour un même volume, la cire pèse moins que l’eau. On fait simplement : 245 (volume) × 0,86 ≈ 211 g, que l’on arrondit à 210 g pour travailler proprement.",58,61,"La cire naturelle standard est en effet plus légère que l’eau pour un même volume mesuré. La densité moyenne d’une cire en fabrication est généralement proche de zéro virgule quatre-vingt-six adoptée. Ainsi, pour deux cent quarante cinq millilitres, la multiplication par zéro virgule quatre-vingt-six donne deux cent onze grammes environ. L’arrondi à deux cent dix grammes facilite la gestion en série.",61
b550804c-0a99-4397-abc1-a8f4cfb53298,SPEAKER_00,"00:01:27,512","00:01:39,329",11.817,%  نضيف  230  غرام  ونقسم  إلى  100  نحصل  على  63  غرام  هذه  هي  كمية  الشموع  لكي,"Si l’on réserve quarante pour cent du mélange à la cire de paraphine, la masse varie. Sur 210 grammes, cela corespond à 84g de paraphine. 30% de soja correspond à 63g",31,29,"Si quarante pour cent de la formule correspond à de la paraffine, la masse varie. Sur 210 grammes, cela fait 84 grammes de paraffine et 63 grammes de soja.",29
4aa2bd98-79cd-4e6b-8abc-22f9ccb35d17,SPEAKER_00,"00:01:39,889","00:01:50,927",11.038, نحصل على 20% نضيف 210 غرام ونقسم إلى 100 نحصل على 42,"Pour avoir vingt pour cent d'acide stéarique, nous allons calculer 20% de 210g soit 42g",15,27,"Sur 210 grammes, vingt pour cent d’acide stéarique font quarante-deux grammes. Ce calcul illustre aussi que quarante pour cent de paraffine représente quatre-vingt-quatre grammes et soja soixante-trois.",27
f636b8b0-972b-4768-bb51-ec43f8f122ee,SPEAKER_00,"00:01:51,943","00:02:02,640",10.697, غرام لكي نحصل على 10% نضيف 210 غرام ونقسم إلى 100 هذه هي كمية الشموع لكي نحصل على 20%,10% de parfum correspond à 21g,6,26,Dix pour cent de parfum équivaut à vingt et un grammes mesurés. Cette proportion oriente le dosage et l’évaluation de la tenue olfactive en usage domestique.,26
fcd2a634-7848-406a-8814-0f83231c408c,SPEAKER_00,"00:02:03,522","00:02:33,709",30.187,نحصل على 21 غرام هذه هي كمية الشموع لكي نحصل على 20% لكي نحصل على 20%  نضيف 20% نضيف  نضيف,"Paraffine, soja et acide stéarique se fusionnent dans le fondoir. La chauffe douce, idéalement au bain-marie, protège les parfums et la texture. La cuillère en bois homogénéise sans créer d’aération excessive au sein du mélange. Les parfums s’incorporent à la température recommandée pour optimiser fixation et tenue olfactive. Une minute de mélange doux suffit généralement pour lier les phases et parfums correctement. Le contenant légèrement tiède limite voiles et retraits avant le coulage final.",74,74,"Paraffine, soja et acide stéarique fusionnent dans le fondoir pour former la base. La chauffe douce au bain-marie préserve les parfums et la structure de la cire. L’emploi d’une cuillère en bois homogénéise sans provoquer d’aération excessive ni d’instabilité. Les parfums s’incorporent à la température recommandée afin d’optimiser leur fixation et tenue. Une minute de mélange lie les phases sans déteriorer les arômes. Le contenant tiède limite voiles et retraits avant le coulage final.",74
f1123df9-e936-467e-b479-7b460e96b34d,SPEAKER_00,"00:02:34,185","00:03:46,517",72.332,20% نضيف 20% نضيف 20% نضيف 20%  نضيف ننصح السيد  نضعها بشكل عادي إلى الترابط  نضع الفاتيح القطنية في الأسفل  نضعها من الأسفل إلى الأعلى نضيف فتينا من الأعلى لكي لا تتحرك الفتينا نضيف فتينا من  الأعلى لكي لا  تتحرك  الفتينا يمكن أن يكون مثل هذا أو من الخشب نضيف,"Sur un large diamètre, une seule mèche tend à creuser un tunnel au centre du bain. L’emploi de deux ou trois mèches plus fines favorise une fonte plus uniforme et régulière. La pose des mèches en coton commence par un ancrage stable au fond du contenant. Une pastille métallique ou un support de mèche assure la fixation initiale et limite déplacements. Le maintien de la mèche en position verticale se facilite avec un guide en surface adapté. Sur des formats particuliers, il est courant d’insérer les mèches depuis le bas pour ancrage renforcé. Cette méthode permet de vérifier l’alignement avant le coulage et de minimiser les retours de cire. L’espacement entre mèches doit être calculé selon le diamètre et la composition de la cire. Des mèches trop proches créent des points chauds tandis qu’un espacement excessif laisse des zones non fondues. La synchronisation entre fixation au fond et maintien en surface contribue à une combustion stable et propre. Le choix des mèches dépend du diamètre de la cire. Des tests d’allumage confirment la configuration avant commercialisation finale.",177,177,"Sur un large diamètre, une seule mèche tend à creuser un tunnel au centre du bain. L’emploi de deux ou trois mèches plus fines favorise une fonte plus uniforme et régulière constante. La pose des mèches en coton commence par un ancrage stable au fond du contenant intégré. Une pastille métallique ou un support de mèche assure la fixation initiale et limite déplacements indésirables. Le maintien de la mèche en position verticale se facilite avec un guide en surface adapté. Sur des formats particuliers, il est courant d’insérer les mèches depuis le bas pour ancrage renforcé. Cette méthode permet de vérifier l’alignement avant le coulage et de minimiser les retours de cire. L’espacement entre mèches doit s’adapter au diamètre et à la composition de la cire en pratique. Des mèches trop proches créent des points chauds, un espacement excessif laisse des zones non fondues. La synchronisation entre fixation au fond et maintien en surface contribue à une combustion stable, propre. Le choix des mèches dépend du diamètre de la cire et des tests d’allumage confirment la configuration.",177
df2e2f32-2175-4b0b-86b2-36d9bce20887,SPEAKER_00,"00:03:47,105","00:04:22,956",35.851,المزيد من الخليط الذي اخترت نضيف  القليل  من  الفلسطين,"La coulée s’effectue en douceur pour préserver la texture et limiter les perturbations. L’introduction immédiate de toutes les fleurs conduit souvent à leur chute vers le fond. La prise partielle crée une couche visqueuse capable de maintenir les éléments décoratifs en suspension. Au stade de demi prise, les fleurs s’installent efficacement près de la paroi sans glisser. Une pipette ou une pince fine facilite le positionnement précis sans perturber la surface du décor. Le maintien d’un centimètre minimum autour de la mèche évite fumée et risques de combustion.",88,88,"Pendant la demi prise, travaillez avec douceur pour préserver texture et éviter la chute des fleurs. La couche visqueuse retient les éléments décoratifs sans altérer la surface. Au stade intermédiaire, installez les fleurs près de la paroi en évitant tout glissement vers le fond. Utilisez une pince fine ou une pipette pour le placement précis sans perturbation. Maintenez un centimètre autour de la mèche afin d’éviter fumée et risques. À ce stade, répartissez les autres fleurs pour un rendu équilibré sans surcharger la zone proche de la mèche.",88
341d7004-a84f-4fd8-8b37-4fcd14138b5c,SPEAKER_00,"00:04:24,168","00:04:31,621",7.453, نضيف القليل من الفلسطين نضيف القليل من,"À ce stade, les autres fleurs assurent un rendu équilibré sans surcharger la zone autour de la mèche.",18,18,"À ce stade, les autres fleurs assurent un rendu équilibré sans surcharger la zone autour de la mèche.",18
