segment_id,speaker,start,end,duration_sec,src_text,dst_text,dst_length,estimation_length,new_text,new_length
7062485a-d5ee-41a7-8f4b-92e1811fc354,SPEAKER_01,"00:00:00,619","00:00:06,290",5.671, السلام عليكم و مرحبا بكم في هذا الفيديو الذي سنقوم برؤيته من خلال تطبيق القالب السيليكون,"Dans cette partie, nous découvrons les moules en silicone pour réaliser des bougies moulées aux formes détaillées et au démoulage facile",21,14,"Cette partie présente les moules en silicone pour bougies moulées, faciles à démouler aujourd'hui.",14
59a9c338-d60f-4da6-b566-e524a1a64362,SPEAKER_01,"00:00:06,918","00:00:12,201",5.283, أول شيء يجب أن نعرف وزن القالب,"Même en moulage, les mesures restent essentielles : elles conditionnent la quantité de cire, le dosage du parfum, la couleur et le choix de la mèche.",25,13,"Même en moulage, les mesures conditionnent la cire, les parfums et la mèche.",13
798b5160-d60b-4ce4-8cca-18612dce8e5a,SPEAKER_01,"00:00:12,640","00:00:22,521",9.881,كما قلنا في البداية يجب أن نضعه فوق الميزان  نضيف الماء حتى يصبح ملحاً  ثم نسجل كم يجب أن يخرج من الميزان,"Comme pour les bougies en contenant, on pèse le moule, puis on ajoute de l’eau jusqu’au niveau de remplissage pour déduire la cire nécessaire. ",24,24,"Comme pour les bougies en contenant, on pèse le moule puis on ajoute de l’eau jusqu’au niveau de remplissage prévu pour estimer la cire.",24
ab857ca1-d57d-43aa-af3a-cbf10ec0211e,SPEAKER_01,"00:00:23,115","00:00:31,757",8.642,ثم نضيف 36 جرام من البنانة نضيف 0.8 جرام من البنانة لكي  نعرف كم يجب أن نحصل على شام الخام," Ici, nous obtenons 36 g d’eau. La cire étant plus légère que l’eau, on multiplie par 0,80 (densité moyenne choisie ici) :
36 × 0,80 = 28,8 g de cire à préparer.
(À l’écran : 36 g d’eau → 28,8 g de cire) »

Remarque : selon la cire, la densité varie autour de 0,80–0,90. L’important est d’utiliser toujours le même facteur dans vos fiches d’essai pour rester cohérent.",69,21,"Si l'eau pèse 36 g et que la cire est estimée à 80 % du poids, préparez donc environ 28,8 g.",21
cf5e9d7c-b9e1-4e2e-a097-85aae1cf957e,SPEAKER_01,"00:00:32,792","00:00:45,797",13.005,ثم  نحسب  كم  يجب  أن  نحصل  على  شام  الخام  بغافين  و  آسيد  استياغيك  و  شام  السوجة  لكي  نحصل  على  المحلول  السائل  و  يكون  متجانس," Ces 28,8 g constituent la masse totale de votre mélange (cire(s) + additif(s) + parfum). On répartit ensuite selon la formule choisie.",23,32,"On répartit les composants en pourcentages adaptés pour assurer texture, tenue et parfum souhaités. Chaque quantité est notée afin de garder cohérence, permettre reprise fidèle et suivi complet lors de la préparation.",32
e3ef803b-1c4d-4741-855f-ed50fe228067,SPEAKER_01,"00:00:46,561","00:01:00,602",14.041,ثم  نضيف 12 جرام من بغافين  و نضيفه يبقى فوق الميزان ثم  نضيفه يبقى فوق الميزان  ثم نضيف 10 جرام,"« Paraffine 40 % : 28,8 × 0,40 = 11,52 g, arrondis à 12 g pour travailler proprement.
Intérêt : elle donne une texture homogène, des détails nets au démoulage et un coût contenu.
Points à surveiller : image moins “naturelle”, et à fort parfum la flamme peut fumer si la mèche est mal dimensionnée. Restez prudent sur le taux de parfum (voir plus bas). »",61,34,"La paraffine à quarante pour cent apporte une texture homogène, des détails nets et un coût maîtrisé, mais exige une mèche adaptée pour limiter fumée et préserver une présentation satisfaisante et faciliter l'utilisation sûre.",34
8e39315a-8e31-4bba-86ed-6f00b396eac2,SPEAKER_01,"00:01:01,451","00:01:17,173",15.722,من شام 10 غ سوجة  نضيفها على الميزان  نضيف 10 غ نضيف الآن  الحساب الوحيد على السيد  السيد السياري,"Soja 30 % : 28,8 × 0,30 = 8,64 g, arrondis à 9 g.
Intérêt : elle adoucit la texture, apporte une belle blancheur et peut limiter certains retraits.
Point de vigilance : la diffusion peut être un peu plus douce, donc testez le taux de parfum et la mèche avant de valider.",50,39,"Le soja à trente pour cent apporte douceur et blancheur tout en limitant les retraits. Sur vingt huit virgule huit grammes, trente pour cent égale huit virgule soixante quatre grammes, arrondis à neuf grammes en recette, parfum et mèche.",39
225cf057-3c7a-4bd6-9877-bb03046ab75a,SPEAKER_01,"00:01:17,988","00:01:32,114",14.126,نضيف السيد السياري 20% 6.5 غ  نضيف  ونخلط  مع  سمع  السوجة  و  سمع  البرافين  10 %  نضيف  الآن,"Acide stéarique 20 % : 28,8 × 0,20 = 5,76 g, arrondis à 6 g.
Rôle : il raffermit la cire, améliore la tenue de forme et rehausse la blancheur. Faites-le fondre complètement avec les cires, sans surchauffer.",36,35,"Pour vingt pour cent, calculez cinq virgule soixante-seize grammes puis arrondissez à six grammes. Cette simplification facilite la préparation sans compromettre texture, blancheur ni douceur, et elle reste notamment compatible avec les autres pourcentages montrés.",35
754e774c-a46f-47f8-9c6d-4de00f9454c5,SPEAKER_01,"00:01:32,694","00:01:44,949",12.255,و  نتركهم يبرد لكي لاتتحرق و يباكن و يتحرق و يبقى بشكل جيد,"Parfum 10 % : 28,8 × 0,10 = 2,88 g, arrondis à 3 g.
On n’ajoute pas le parfum tout de suite : on attend la température d’ajout recommandée (selon la cire), pour éviter l’évaporation et préserver la diffusion.",37,30,"Parfum dix pour cent représente 2,88 g arrondis à trois grammes ; l’ajout doit respecter la température recommandée pour limiter l’évaporation et conserver la force olfactive selon le palier prévu.",30
79de5878-0ef2-40e5-bdf7-cce156b64f9c,SPEAKER_01,"00:01:45,560","00:02:01,570",16.01, لنضيف السيج نخلط و نضيفها على السيد المتوسط لكي لا تتحرق يهمنا ان يكون الزبدة في الطبق و يجعلها جيدة و لا تخرج الشكل,"Placez paraffine, soja et stéarique au bain-marie (ou fondoir) et faites fondre doucement. Mélangez régulièrement pour homogénéiser. Ajoutez le parfum au bon palier de température, puis mélangez une minute pour lier.",31,39,"Paraffine, soja et stéarique sont chauffés au bain-marie ou dans un fondoir pour une fonte douce ; le mélange est homogénéisé à la cuillère en bois avant ajout du parfum. Le parfum est ajouté au palier thermique recommandé, puis mélangé.",39
